Date,Fortified,Red,Rose,sparkling,Sweet.white,Dry.white
1/1/1980,2585,464,112,1686,85,1954
2/1/1980,3368,675,118,1591,89,2302
3/1/1980,3210,703,129,2304,109,3054
4/1/1980,3111,887,99,1712,95,2414
5/1/1980,3756,1139,116,1471,91,2226
6/1/1980,4216,1077,168,1377,95,2725
7/1/1980,5225,1318,118,1966,96,2589
8/1/1980,4426,1260,129,2453,128,3470
9/1/1980,3932,1120,205,1984,124,2400
10/1/1980,3816,963,147,2596,111,3180
11/1/1980,3661,996,150,4087,178,4009
12/1/1980,3795,960,267,5179,140,3924
1/1/1981,2285,530,126,1530,150,2072
2/1/1981,2934,883,129,1523,132,2434
3/1/1981,2985,894,124,1633,155,2956
4/1/1981,3646,1045,97,1976,132,2828
5/1/1981,4198,1199,102,1170,91,2687
6/1/1981,4935,1287,127,1480,94,2629
7/1/1981,5618,1565,222,1781,109,3150
8/1/1981,5454,1577,214,2472,155,4119
9/1/1981,3624,1076,118,1981,123,3030
10/1/1981,2898,918,141,2273,130,3055
11/1/1981,3802,1008,154,3857,150,3821
12/1/1981,3629,1063,226,4551,163,4001
1/1/1982,2369,544,89,1510,101,2529
2/1/1982,2511,635,77,1329,123,2472
3/1/1982,3079,804,82,1518,127,3134
4/1/1982,3728,980,97,1790,112,2789
5/1/1982,4151,1018,127,1537,108,2758
6/1/1982,4326,1064,121,1449,116,2993
7/1/1982,5054,1404,117,1954,153,3282
8/1/1982,5138,1286,117,1897,163,3437
9/1/1982,3310,1104,106,1706,128,2804
10/1/1982,3508,999,112,2514,142,3076
11/1/1982,3790,996,134,3593,170,3782
12/1/1982,3446,1015,169,4524,214,3889
1/1/1983,2127,615,75,1609,134,2271
2/1/1983,2523,722,108,1638,122,2452
3/1/1983,3017,832,115,2030,142,3084
4/1/1983,3265,977,85,1375,156,2522
5/1/1983,3822,1270,101,1320,145,2769
6/1/1983,4027,1437,108,1245,169,3438
7/1/1983,4420,1520,109,1600,134,2839
8/1/1983,5255,1708,124,2298,165,3746
9/1/1983,4009,1151,105,2191,156,2632
10/1/1983,3074,934,95,2511,111,2851
11/1/1983,3465,1159,135,3440,165,3871
12/1/1983,3718,1209,164,4923,197,3618
1/1/1984,1954,699,88,1609,124,2389
2/1/1984,2604,830,85,1435,124,2344
3/1/1984,3626,996,112,2061,139,2678
4/1/1984,2836,1124,87,1789,137,2492
5/1/1984,4042,1458,91,1567,127,2858
6/1/1984,3584,1270,87,1404,134,2246
7/1/1984,4225,1753,87,1597,136,2800
8/1/1984,4523,2258,142,3159,171,3869
9/1/1984,2892,1208,95,1759,112,3007
10/1/1984,2876,1241,108,2504,110,3023
11/1/1984,3420,1265,139,4273,147,3907
12/1/1984,3159,1828,159,5274,196,4209
1/1/1985,2101,809,61,1771,112,2353
2/1/1985,2181,997,82,1682,118,2570
3/1/1985,2724,1164,124,1846,125,2903
4/1/1985,2954,1205,93,1589,122,2910
5/1/1985,4092,1538,108,1896,120,3782
6/1/1985,3470,1513,75,1379,118,2759
7/1/1985,3990,1378,87,1645,281,2931
8/1/1985,4239,2083,103,2512,344,3641
9/1/1985,2855,1357,90,1771,366,2794
10/1/1985,2897,1536,108,3727,362,3070
11/1/1985,3433,1526,123,4388,580,3576
12/1/1985,3307,1376,129,5434,523,4106
1/1/1986,1914,779,57,1606,348,2452
2/1/1986,2214,1005,65,1523,246,2206
3/1/1986,2320,1193,67,1577,197,2488
4/1/1986,2714,1522,71,1605,306,2416
5/1/1986,3633,1539,76,1765,279,2534
6/1/1986,3295,1546,67,1403,280,2521
7/1/1986,4377,2116,110,2584,358,3093
8/1/1986,4442,2326,118,3318,431,3903
9/1/1986,2774,1596,99,1562,448,2907
10/1/1986,2840,1356,85,2349,433,3025
11/1/1986,2828,1553,107,3987,504,3812
12/1/1986,3758,1613,141,5891,579,4209
1/1/1987,1610,814,58,1389,384,2138
2/1/1987,1968,1150,65,1442,335,2419
3/1/1987,2248,1225,70,1548,320,2622
4/1/1987,3262,1691,86,1935,496,2912
5/1/1987,3164,1759,93,1518,448,2708
6/1/1987,2972,1754,74,1250,377,2798
7/1/1987,4041,2100,87,1847,523,3254
8/1/1987,3402,2062,73,1930,468,2895
9/1/1987,2898,2012,101,2638,428,3263
10/1/1987,2555,1897,100,3114,520,3736
11/1/1987,3056,1964,96,4405,493,4077
12/1/1987,3717,2186,157,7242,662,4097
1/1/1988,1755,966,63,1853,304,2175
2/1/1988,2193,1549,115,1779,308,3138
3/1/1988,2198,1538,70,2108,313,2823
4/1/1988,2777,1612,66,2336,328,2498
5/1/1988,3076,2078,67,1728,354,2822
6/1/1988,3389,2137,83,1661,338,2738
7/1/1988,4231,2907,79,2230,483,4137
8/1/1988,3118,2249,77,1645,355,3515
9/1/1988,2524,1883,102,2421,439,3785
10/1/1988,2280,1739,116,3740,290,3632
11/1/1988,2862,1828,100,4988,352,4504
12/1/1988,3502,1868,135,6757,454,4451
1/1/1989,1558,1138,71,1757,306,2550
2/1/1989,1940,1430,60,1394,303,2867
3/1/1989,2226,1809,89,1982,344,3458
4/1/1989,2676,1763,74,1650,254,2961
5/1/1989,3145,2200,73,1654,309,3163
6/1/1989,3224,2067,91,1406,310,2880
7/1/1989,4117,2503,86,1971,379,3331
8/1/1989,3446,2141,74,1968,294,3062
9/1/1989,2482,2103,87,2608,356,3534
10/1/1989,2349,1972,87,3845,318,3622
11/1/1989,2986,2181,109,4514,405,4464
12/1/1989,3163,2344,137,6694,545,5411
1/1/1990,1651,970,43,1720,268,2564
2/1/1990,1725,1199,69,1321,243,2820
3/1/1990,2622,1718,73,1859,273,3508
4/1/1990,2316,1683,77,1628,273,3088
5/1/1990,2976,2025,69,1615,236,3299
6/1/1990,3263,2051,76,1457,222,2939
7/1/1990,3951,2439,78,1899,302,3320
8/1/1990,2917,2353,70,1605,285,3418
9/1/1990,2380,2230,83,2424,309,3604
10/1/1990,2458,1852,65,3116,322,3495
11/1/1990,2883,2147,110,4286,362,4163
12/1/1990,2579,2286,132,6047,471,4882
1/1/1991,1330,1007,54,1902,198,2211
2/1/1991,1686,1665,55,2049,253,3260
3/1/1991,2457,1642,66,1874,173,2992
4/1/1991,2514,1518,65,1279,186,2425
5/1/1991,2834,1831,60,1432,185,2707
6/1/1991,2757,2207,65,1540,105,3244
7/1/1991,3425,2822,96,2214,228,3965
8/1/1991,3006,2393,55,1857,214,3315
9/1/1991,2369,2306,71,2408,189,3333
10/1/1991,2017,1785,63,3252,270,3583
11/1/1991,2507,2047,74,3627,277,4021
12/1/1991,3168,2171,106,6153,378,4904
1/1/1992,1545,1212,34,1577,185,2252
2/1/1992,1643,1335,47,1667,182,2952
3/1/1992,2112,2011,56,1993,258,3573
4/1/1992,2415,1860,53,1997,179,3048
5/1/1992,2862,1954,53,1783,197,3059
6/1/1992,2822,2152,55,1625,168,2731
7/1/1992,3260,2835,67,2076,250,3563
8/1/1992,2606,2224,52,1773,211,3092
9/1/1992,2264,2182,46,2377,260,3478
10/1/1992,2250,1992,51,3088,234,3478
11/1/1992,2545,2389,58,4096,305,4308
12/1/1992,2856,2724,91,6119,347,5029
1/1/1993,1208,891,33,1494,203,2075
2/1/1993,1412,1247,40,1564,217,3264
3/1/1993,1964,2017,46,1898,227,3308
4/1/1993,2018,2257,45,2121,242,3688
5/1/1993,2329,2255,41,1831,185,3136
6/1/1993,2660,2255,55,1515,175,2824
7/1/1993,2923,3057,57,2048,252,3644
8/1/1993,2626,3330,54,2795,319,4694
9/1/1993,2132,1896,46,1749,202,2914
10/1/1993,1772,2096,52,3339,254,3686
11/1/1993,2526,2374,48,4227,336,4358
12/1/1993,2755,2535,77,6410,431,5587
1/1/1994,1154,1041,30,1197,150,2265
2/1/1994,1568,1728,35,1968,280,3685
3/1/1994,1965,2201,42,1720,187,3754
4/1/1994,2659,2455,48,1725,279,3708
5/1/1994,2354,2204,44,1674,193,3210
6/1/1994,2592,2660,45,1693,227,3517
7/1/1994,2714,3670,45.5,2031,225,3905
8/1/1994,2294,2665,45.75,1495,205,3670
9/1/1994,2416,2639,46,2968,259,4221
10/1/1994,2016,2226,51,3385,254,4404
11/1/1994,2799,2586,63,3729,275,5086
12/1/1994,2467,2684,84,5999,394,5725
