Month,Ridership,Lag-1,Lag-2
01/01/91,1709,,
02/01/91,1621,1709,
03/01/91,1973,1621,1709
04/01/91,1812,1973,1621
05/01/91,1975,1812,1973
06/01/91,1862,1975,1812
07/01/91,1940,1862,1975
08/01/91,2013,1940,1862
09/01/91,1596,2013,1940
10/01/91,1725,1596,2013
11/01/91,1676,1725,1596
12/01/91,1814,1676,1725
01/01/92,1615,1814,1676
02/01/92,1557,1615,1814
03/01/92,1891,1557,1615
04/01/92,1956,1891,1557
05/01/92,1885,1956,1891
06/01/92,1623,1885,1956
07/01/92,1903,1623,1885
08/01/92,1997,1903,1623
09/01/92,1704,1997,1903
10/01/92,1810,1704,1997
11/01/92,1862,1810,1704
12/01/92,1875,1862,1810
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
