Date,Rainfall amount (millimetres)
01/01/00,0.4
01/02/00,0
01/03/00,0
01/04/00,3.4
01/05/00,1.4
01/06/00,0
01/07/00,0
01/08/00,0
01/09/00,0
01/10/00,2.2
01/11/00,0
01/12/00,0
01/13/00,0
01/14/00,0
01/15/00,0
01/16/00,0.4
01/17/00,0.8
01/18/00,0
01/19/00,0
01/20/00,0
01/21/00,0
01/22/00,0.6
01/23/00,9.4
01/24/00,0.4
01/25/00,0.2
01/26/00,1.8
01/27/00,14.2
01/28/00,2.6
01/29/00,0.2
01/30/00,0
01/31/00,0
02/01/00,0
02/02/00,0
02/03/00,0
02/04/00,0.4
02/05/00,0
02/06/00,0
02/07/00,0
02/08/00,0
02/09/00,0
02/10/00,0
02/11/00,6.4
02/12/00,3.2
02/13/00,0
02/14/00,0
02/15/00,0
02/16/00,0
02/17/00,0
02/18/00,0
02/19/00,0
02/20/00,0.4
02/21/00,0
02/22/00,2.8
02/23/00,2
02/24/00,1.4
02/25/00,0
02/26/00,16.6
02/27/00,0
02/28/00,0
02/29/00,0.2
03/01/00,0.2
03/02/00,0
03/03/00,0
03/04/00,5.2
03/05/00,0
03/06/00,0.4
03/07/00,0
03/08/00,0
03/09/00,0
03/10/00,0
03/11/00,0
03/12/00,0
03/13/00,0
03/14/00,0
03/15/00,0
03/16/00,0
03/17/00,0
03/18/00,0
03/19/00,0
03/20/00,0.6
03/21/00,0
03/22/00,0
03/23/00,18.8
03/24/00,0
03/25/00,0
03/26/00,0
03/27/00,0
03/28/00,0
03/29/00,0.2
03/30/00,0
03/31/00,0
04/01/00,0.2
04/02/00,0
04/03/00,0
04/04/00,0
04/05/00,30.4
04/06/00,0
04/07/00,0
04/08/00,0
04/09/00,0
04/10/00,0
04/11/00,0
04/12/00,0
04/13/00,0
04/14/00,4.4
04/15/00,2.8
04/16/00,1
04/17/00,0.2
04/18/00,0
04/19/00,0
04/20/00,0
04/21/00,0
04/22/00,0.2
04/23/00,0
04/24/00,0
04/25/00,0
04/26/00,0
04/27/00,0
04/28/00,0
04/29/00,0
04/30/00,7.8
05/01/00,3.8
05/02/00,0
05/03/00,0
05/04/00,13.2
05/05/00,2
05/06/00,12.8
05/07/00,0
05/08/00,0
05/09/00,0
05/10/00,0
